ax,ay,az,gx,gy,gz,label,sample_id
0.9695,0.2461,-0.3376,4.0916,-0.4962,-1.2672,0,0_0
0.9666,0.2537,-0.3391,3.6641,0.7405,0.0153,0,0_0
0.9773,0.2468,-0.3638,2.2443,1.6260,0.1756,0,0_0
0.9756,0.2444,-0.3538,-0.3130,1.9542,0.4809,0,0_0
0.9690,0.2502,-0.3347,-2.4122,1.3130,1.2977,0,0_0
0.9836,0.2434,-0.3154,-3.4351,0.9389,1.7939,0,0_0
0.9722,0.2473,-0.2998,-2.7252,1.5115,1.8015,0,0_0
0.9761,0.2439,-0.2798,-1.3206,1.9084,1.3588,0,0_0
0.9805,0.2429,-0.2861,0.5573,0.6489,1.1832,0,0_0
0.9963,0.2498,-0.3079,2.6031,-0.4962,0.9160,0,0_0
1.0002,0.2444,-0.3145,3.4275,-1.0382,0.2443,0,0_0
0.9954,0.2458,-0.3271,3.8779,-0.9695,-0.1069,0,0_0
0.9956,0.2502,-0.3257,3.7786,-0.0611,-0.2214,0,0_0
1.0039,0.2410,-0.3408,2.9924,0.4351,-0.5115,0,0_0
1.0002,0.2471,-0.3374,2.0534,-0.1679,-1.1374,0,0_0
0.9863,0.2505,-0.3335,1.6794,-0.2748,-1.4275,0,0_0
0.9846,0.2493,-0.3296,1.6565,0.0000,-1.2366,0,0_0
0.9792,0.2390,-0.3169,1.6412,0.2214,-0.8473,0,0_0
0.9741,0.2498,-0.3064,2.4046,-0.0458,0.1756,0,0_0
0.9810,0.2505,-0.3154,3.2519,-0.4504,1.0992,0,0_0
0.9844,0.2463,-0.3230,3.8244,-0.6870,0.8244,0,0_0
0.9922,0.2417,-0.3271,3.2901,-0.5267,0.1527,0,0_0
0.9912,0.2336,-0.3359,2.0992,-0.8702,-0.5191,0,0_0
0.9795,0.2397,-0.3303,2.0916,-0.2595,0.3740,0,0_0
0.9824,0.2490,-0.3196,1.8244,-0.0229,1.0611,0,0_0
0.9856,0.2510,-0.3196,1.9618,0.8855,2.0534,0,0_0
0.9993,0.2310,-0.3162,0.7481,1.9313,1.8702,0,0_0
1.0044,0.2358,-0.3130,0.0534,1.6336,1.0000,0,0_0
0.9983,0.2329,-0.3005,-0.1679,0.4122,-0.4504,0,0_0
